sa2_code,sa2_name,twitter_count,user_count,avg_score,pos_count,neu_count,neg_count
213011340,Taylors Lakes,1352,291,0.22076704497581068,616,527,209
210051247,Meadow Heights,301,73,0.14770389659515706,85,181,35
210041241,Sunbury - South,2091,276,0.10735372047979473,805,790,496
210041240,Sunbury,750,129,0.10281249982219232,289,294,167
209041220,Mill Park - North,1565,157,0.24934515018591222,623,757,185
211031450,Croydon - East,619,180,0.17141721159437745,269,258,92
211031451,Croydon - West,611,97,0.19333003618969366,223,324,64
211031452,Croydon South,146,42,0.19657439994812012,56,76,14
212031301,Cranbourne East,360,128,0.1894574460933002,144,166,50
208011168,Beaumaris,2468,181,-0.006723180316078297,243,1445,780
208011169,Brighton (Vic.),3957,1688,0.1917567473642561,1543,2060,354
208011170,Brighton East,1550,222,0.0664472477735589,569,607,374
208011171,Cheltenham - Highett (West),1129,238,0.22380451011451788,514,490,125
208011172,Hampton,1622,286,0.06211181002137802,584,635,403
208011173,Sandringham - Black Rock,1288,386,0.17444851303262637,499,638,151
209041223,Thomastown,2417,195,0.13534934204113996,912,1098,407
212031304,Cranbourne West,503,69,0.20622769895363863,216,210,77
208021426,Bentleigh East (North),707,161,0.16143761612128915,285,301,121
213031347,Braybrook,1876,334,0.1571022020465902,681,924,271
213031348,Footscray,3922,1124,0.15779135743630504,1429,2023,470
213031349,Maribyrnong,1705,560,0.11147723073002846,500,958,247
213031350,Seddon - Kingsville,872,280,0.16788707543491682,352,399,121
213031351,West Footscray - Tottenham,963,209,0.14663085930063954,340,474,149
213031352,Yarraville,2095,493,0.19715748017976487,886,934,275
207031163,Box Hill,1865,504,0.12808281947424524,516,1142,207
212031306,Lynbrook - Lyndhurst,323,94,0.2668900719665466,152,128,43
209021429,Preston - West,465,171,0.15427909658739516,163,248,54
209021205,Kingsbury,1591,397,0.15412526430142387,460,974,157
206021110,Alphington - Fairfield,1018,210,0.16547330428950113,369,537,112
213021345,Seabrook,208,32,0.08986301980136584,80,81,47
212031308,Pearcedale - Tooradin,423,118,0.15785249215098504,175,176,72
211011256,Rowville - Central,780,126,0.08410855567639205,259,352,169
211021261,Donvale - Park Orchards,667,136,0.2165878482823595,311,292,64
211021262,Warrandyte - Wonga Park,1127,181,0.18983129657720937,514,407,206
207011149,Camberwell,1584,555,0.17375064534342272,595,790,199
208031184,Braeside,240,82,0.14565714225838228,80,135,25
208031185,Carrum - Patterson Lakes,1471,104,0.2075945095543645,217,1181,73
208031186,Chelsea - Bonbeach,1474,216,0.20102103226201212,655,607,212
208031187,Chelsea Heights,549,58,0.16132131150206092,227,233,89
208031188,Cheltenham - Highett (East),2504,437,0.1474320182966317,815,1380,309
208031189,Edithvale - Aspendale,580,169,0.19290877509938212,230,269,81
213051465,Point Cook - North,1189,256,0.16798992108584632,437,587,165
208031191,Moorabbin - Heatherton,1162,301,0.19425116551050398,479,547,136
208031192,Moorabbin Airport,117,82,0.1578284210672504,31,77,9
208031193,Mordialloc - Parkdale,1507,388,0.16664042960465167,603,686,218
207011151,Hawthorn,5320,1341,0.18023001561243313,1940,2726,654
212031457,Narre Warren South (East),563,60,0.15993918700101814,216,256,91
213051362,Hoppers Crossing - South,1807,228,0.21468187244974773,849,736,222
213051363,Laverton,2205,248,0.26834827088604046,1112,889,204
213051365,Tarneit,1482,192,0.14481619905916424,524,727,231
213051366,Truganina,977,148,0.12818045242488632,310,521,146
213051368,Werribee - South,1754,541,0.17634434146098654,691,870,193
213051369,Wyndham Vale,947,178,0.13499929249327286,370,391,186
214011370,Carrum Downs,1331,171,0.16528515838500527,573,526,232
214011371,Frankston,2027,496,0.14789269863224394,809,850,368
212021456,Narre Warren - South West,833,281,0.16304836381736787,269,475,89
214011373,Frankston South,1520,131,0.1375252146094239,617,614,289
214011374,Langwarrin,653,129,0.20195421404508568,263,295,95
214011375,Seaford (Vic.),1084,251,0.1840430531375514,461,450,173
214011376,Skye - Sandhurst,2964,87,0.11525410273282741,1228,1053,683
211011447,Ferntree Gully (North),666,123,0.04122009912043128,199,320,147
207011155,Surrey Hills (West) - Canterbury,1121,310,0.17898343080612986,477,485,159
209021428,Preston - East,3309,675,0.13827811197518425,1190,1676,443
211041269,Forest Hill,713,161,0.24177921417667705,307,333,73
211041270,Mitcham (Vic.),890,189,0.14637787538485228,335,413,142
211041271,Nunawading,454,196,0.17581988980724636,161,242,51
211041272,Vermont,472,79,0.2552763505008316,187,248,37
211041273,Vermont South,300,114,0.13566718157021235,91,161,48
212021295,Doveton,550,73,0.08260328584118908,153,305,92
209011196,Bundoora - East,496,134,0.2542861460682277,213,234,49
209011197,Greensborough,761,198,0.16231572902714364,292,358,111
209011198,Heidelberg - Rosanna,1655,308,0.16409418530802497,648,751,256
209011199,Heidelberg West,758,187,0.14814221514254378,247,419,92
